Substation nb	Energy [kWh/an]	Substation Type	Substation Name	Building Type	Heat Type	Altitude [m]	T_need (C)	T_ref (C)	dT	L_raccord (m)	DN_raccord
1	90884	HX	-	Habitat_collectif	HeatECS	470.6	55	15	15	10	50
2	132769	HX	-	Ecole	HeatECS	470.6	55	18	15	10	40
3	170756	HX	-	Habitat_collectif	HeatECS	472.2	55	18	15	10	40
4	312200	HX	-	Ecole	HeatECS	472.2	55	18	15	0	65
5	402460	HX	-	Habitat_collectif	HeatECS	472.9	55	18	15	2	50
6	66684	HX	-	Ecole	HeatECS	474.1	55	14	15	15	32
7	Data	HX	-	Habitat_individuel	HeatECS	469.7	55	18	Data	5	32
8	47216	HX	-	Habitat_individuel	HeatECS	469.2	55	18	15	7	32
9	892320	HX	-	Habitat_collectif	HeatECS	460.9	55	18	15	0	80
10	297803	HX	-	Habitat_individuel	HeatECS	483.6	55	17	15	0	40
11	282016	HX	-	Habitat_individuel	HeatECS	479.2	55	16	15	15	50
12	160859	HX	-	Habitat_individuel	HeatECS	469.9	55	18	15	0	50
13	723550	HX	-	Habitat_individuel	HeatECS	483.3	55	18	15	0	80
14	128107	HX	-	Habitat_individuel	HeatECS	479.2	55	14	15	9	40
15	99078	HX	-	Habitat_individuel	HeatECS	478.8	55	14	15	0	40
16	425457	HX	-	Habitat_collectif	HeatECS	456.6	55	18	15	2	65
17	131219	HX	-	Habitat_individuel	HeatECS	451.3	55	18	15	0	40
18	468806	HX	-	Habitat_individuel	HeatECS	449.4	55	18	15	2	40
19	158071	HX	-	Habitat_collectif	HeatECS	475.2	55	16	15	12	50
20	198528	HX	-	Habitat_individuel	HeatECS	477	55	16	15	17	40
21	314084	HX	-	Commerce	HeatECS	471.3	55	17	15	0	80
22	35785	HX	-	Habitat_individuel	HeatECS	472.6	55	18	15	15	32
23	41364	HX	-	Habitat_individuel	HeatECS	456.1	55	14	15	0	32
24	33445	HX	-	Habitat_individuel	HeatECS	457.6	55	14	15	5	32
25	22954	HX	-	Habitat_individuel	HeatECS	457.7	55	14	15	8	32
26	134471	HX	-	Habitat_individuel	HeatECS	478.3	55	14	15	0	40
27	96352	HX	-	Habitat_individuel	HeatECS	480.1	55	14	15	10	40
28	88326	HX	-	Habitat_individuel	HeatECS	482.2	55	14	15	8	40
29	100850	HX	-	Habitat_individuel	HeatECS	479.5	55	14	15	10	40
30	96060	HX	-	Habitat_individuel	HeatECS	469.7	55	13	15	10	32
31	86838	HX	-	Habitat_individuel	HeatECS	468.3	55	13	15	5	32
32	82781	HX	-	Habitat_individuel	HeatECS	467.4	55	13	15	0	40
33	106731	HX	-	Habitat_individuel	HeatECS	469.7	55	13	15	15	40
34	108954	HX	-	Habitat_individuel	HeatECS	469.7	55	13	15	8	40
35	105228	HX	-	Habitat_individuel	HeatECS	467.7	55	13	15	0	40
36	2000	HX	-	Habitat_individuel	HeatECS	473.6	55	17	15	10	25
37	46599	HX	-	Habitat_individuel	HeatECS	470.9	55	13	15	0	32
38	46599	HX	-	Habitat_individuel	HeatECS	471.1	55	13	15	0	40
39	46599	HX	-	Habitat_individuel	HeatECS	471.4	55	13	15	14	40
40	36998	HX	-	Habitat_individuel	HeatECS	470.3	55	13	15	15	40
41	26850	HX	-	Habitat_individuel	HeatECS	471.9	55	13	15	12	40
42	0	HX	-	Habitat_individuel	HeatECS	472.3	55	13	15	0	0
43	0	HX	-	Habitat_individuel	HeatECS	471.6	55	13	15	0	0
44	29854	HX	-	Habitat_individuel	HeatECS	473.4	55	18	15	20	32
45	2955	HX	-	Habitat_individuel	HeatECS	473.6	55	16	15	10	25
46	16166	HX	-	Habitat_individuel	HeatECS	473.6	55	16	15	10	50
47	1	HX	-	Habitat_individuel	HeatECS	472.1	55	12	15	0	40
48	1	HX	-	Habitat_individuel	HeatECS	459.8	55	12	15	0	125
49	0	HX	-	Habitat_individuel	HeatECS	476.1	55	12	15	0	0
50	0	HX	-	Habitat_individuel	HeatECS	471.2	55	12	15	0	0
51	0	HX	-	Habitat_individuel	HeatECS	469.7	55	12	15	0	0
52	0	HX	-	Habitat_individuel	HeatECS	478.1	55	12	15	0	0
53	0	HX	-	Habitat_individuel	HeatECS	483	55	12	15	0	0