Substation nb	Energy [kWh/an]	Substation Type	Building Type	Altitude [m]	T_ref (°C)	L_raccord (m)	DN_raccord
1	90884	HX	Building	470.6	15	10	50
2	132769	HX	School	470.6	18	10	40
3	170756	HX	Building	472.2	18	10	40
4	312200	HX	School	472.2	18	0	65
5	402460	HX	Building	472.9	18	2	50
6	66684	HX	School	474.1	14	15	32
7	35198	HX	House	469.7	18	5	32
8	47216	HX	House	469.2	18	7	32
9	892320	HX	Building	460.9	18	0	80
10	297803	HX	House	483.6	17	0	40
11	282016	HX	House	479.2	16	15	50
12	160859	HX	House	469.9	18	0	50
13	723550	HX	House	483.3	18	0	80
14	128107	HX	House	479.2	14	9	40
15	99078	HX	House	478.8	14	0	40
16	425457	HX	Building	456.6	18	2	65
17	131219	HX	House	451.3	18	0	40
18	468806	HX	House	449.4	18	2	40
19	158071	HX	Building	475.2	16	12	50
20	198528	HX	House	477	16	17	40
21	314084	HX	Office	471.3	17	0	80
22	35785	HX	House	472.6	18	15	32
23	41364	HX	House	456.1	14	0	32
24	33445	HX	House	457.6	14	5	32
25	22954	HX	House	457.7	14	8	32
26	134471	HX	House	478.3	14	0	40
27	96352	HX	House	480.1	14	10	40
28	88326	HX	House	482.2	14	8	40
29	100850	HX	House	479.5	14	10	40
30	96060	HX	House	469.7	13	10	32
31	86838	HX	House	468.3	13	5	32
32	82781	HX	House	467.4	13	0	40
33	106731	HX	House	469.7	13	15	40
34	108954	HX	House	469.7	13	8	40
35	105228	HX	House	467.7	13	0	40
36	2000	HX	House	473.6	17	10	25
37	46599	HX	House	470.9	13	0	32
38	46599	HX	House	471.1	13	0	40
39	46599	HX	House	471.4	13	14	40
40	36998	HX	House	470.3	13	15	40
41	26850	HX	House	471.9	13	12	40
42	0	HX	House	472.3	13	0	0
43	0	HX	House	471.6	13	0	0
44	29854	HX	House	473.4	18	20	32
45	2955	HX	House	473.6	16	10	25
46	16166	HX	House	473.6	16	10	50
47	1	HX	House	472.1	12	0	40
48	1	HX	House	459.8	12	0	125
49	0	HX	House	476.1	12	0	0
50	0	HX	House	471.2	12	0	0
51	0	HX	House	469.7	12	0	0
52	0	HX	House	478.1	12	0	0
53	0	HX	House	483	12	0	0